lat,long,time,pm
22.46,88.31,9/15/2023 5:00,13.32507395
22.46,88.31,9/15/2023 12:00,19.65394129
22.46,88.31,9/15/2023 13:00,18.96911448
22.46,88.31,9/15/2023 22:00,20.82764366
22.46,88.31,9/16/2023 13:00,21.08244984
22.46,88.31,9/16/2023 16:00,20.32546794
22.46,88.31,9/16/2023 19:00,25.76060118
22.46,88.31,9/16/2023 22:00,24.02405672
22.46,88.31,9/17/2023 14:00,36.06061542
22.46,88.31,9/17/2023 21:00,22.69600208
22.46,88.31,9/18/2023 5:00,26.08226803
22.46,88.31,9/18/2023 12:00,22.29666783
22.46,88.31,9/18/2023 15:00,17.93847688
22.46,88.31,9/18/2023 19:00,27.70793873
22.46,88.31,9/19/2023 5:00,11.99183993
22.46,88.31,9/19/2023 12:00,18.79296799
22.46,88.31,9/19/2023 15:00,18.68648505
22.46,88.31,9/19/2023 20:00,17.94758797
22.46,88.31,9/20/2023 5:00,14.4721969
22.46,88.31,9/20/2023 13:00,21.30898391
22.46,88.31,9/20/2023 14:00,11.70646958
22.46,88.31,9/20/2023 15:00,18.50991229
22.46,88.31,9/20/2023 20:00,21.46036349
22.46,88.31,9/21/2023 5:00,11.13579162
22.46,88.31,9/21/2023 13:00,13.68556454
22.46,88.31,9/21/2023 14:00,12.39041029
22.46,88.31,9/21/2023 15:00,14.25230651
22.46,88.31,9/21/2023 19:00,23.53811364
22.46,88.31,9/21/2023 20:00,17.76889686
22.46,88.31,9/22/2023 13:00,15.68365588
22.46,88.31,9/22/2023 16:00,14.8567364
22.46,88.31,9/22/2023 19:00,14.288079
22.46,88.31,9/22/2023 22:00,12.50711134
22.46,88.31,9/23/2023 10:00,16.97762584
22.46,88.31,9/23/2023 13:00,14.52946158
22.46,88.31,9/23/2023 14:00,19.37607284
22.46,88.31,9/23/2023 15:00,21.85236506
22.46,88.31,9/25/2023 5:00,12.86944179
22.46,88.31,9/25/2023 12:00,20.06057973
22.46,88.31,9/25/2023 14:00,36.57130335
22.46,88.31,9/25/2023 15:00,18.36104856
22.46,88.31,9/25/2023 19:00,18.19487492
22.46,88.31,9/25/2023 20:00,17.13284209
22.46,88.31,9/26/2023 5:00,14.38043635
22.46,88.31,9/26/2023 8:00,32.82036594
22.46,88.31,9/26/2023 12:00,16.29045308
22.46,88.31,9/26/2023 15:00,22.56771415
22.46,88.31,9/26/2023 16:00,20.58094157
