lat,long,time,pm
22.46,88.31,4/25/2023 5:00,53.34142984
22.46,88.31,4/25/2023 6:00,39.8078342
22.46,88.31,4/25/2023 7:00,43.5122568
22.46,88.31,4/25/2023 8:00,46.43703349
22.46,88.31,4/25/2023 10:00,41.59187543
22.46,88.31,4/25/2023 11:00,40.7826329
22.46,88.31,4/25/2023 13:00,45.56468514
22.46,88.31,4/26/2023 6:00,43.89330638
22.46,88.31,4/26/2023 7:00,45.88722851
22.46,88.31,4/26/2023 8:00,40.15131793
22.46,88.31,4/26/2023 9:00,39.51515927
22.46,88.31,4/26/2023 10:00,43.76940405
22.46,88.31,4/26/2023 13:00,47.54779896
22.46,88.31,4/26/2023 19:00,36.61022227
22.46,88.31,4/26/2023 21:00,35.71560743
22.46,88.31,4/26/2023 22:00,35.37617789
22.46,88.31,4/27/2023 6:00,38.61077849
22.46,88.31,4/27/2023 7:00,41.21710685
22.46,88.31,4/27/2023 8:00,39.64320117
22.46,88.31,4/27/2023 9:00,41.47058686
22.46,88.31,4/27/2023 10:00,42.08134708
22.46,88.31,4/27/2023 12:00,48.33985242
22.46,88.31,4/27/2023 13:00,45.47407927
22.46,88.31,4/27/2023 15:00,44.70053481
22.46,88.31,4/27/2023 20:00,30.43835163
22.46,88.31,4/27/2023 21:00,31.65765469
22.47,88.31,4/24/2023 16:00,26.76662654
22.47,88.31,4/24/2023 17:00,27.98447172
22.47,88.31,4/25/2023 5:00,37.49728878
22.47,88.31,4/25/2023 6:00,38.69474664
22.47,88.31,4/25/2023 7:00,46.34065519
22.47,88.31,4/25/2023 8:00,52.10051609
22.47,88.31,4/25/2023 10:00,39.90655609
22.47,88.31,4/25/2023 11:00,42.83432666
22.47,88.31,4/25/2023 12:00,43.88785076
22.47,88.31,4/25/2023 13:00,47.59650075
22.47,88.31,4/25/2023 14:00,39.71843317
22.47,88.31,4/25/2023 15:00,38.27881894
22.47,88.31,4/25/2023 16:00,38.53257734
22.47,88.31,4/25/2023 17:00,38.09490595
22.47,88.31,4/26/2023 5:00,43.23380643
22.47,88.31,4/26/2023 6:00,41.35086979
22.47,88.31,4/26/2023 7:00,38.7732219
22.47,88.31,4/26/2023 8:00,40.12924307
22.47,88.31,4/26/2023 9:00,43.35589035
22.47,88.31,4/26/2023 10:00,43.82263819
22.47,88.31,4/26/2023 11:00,44.4457859
22.47,88.31,4/26/2023 13:00,45.8425998
22.47,88.31,4/26/2023 14:00,45.95709698
22.47,88.31,4/26/2023 15:00,47.18785863
22.47,88.31,4/26/2023 19:00,36.05376975
22.47,88.31,4/26/2023 21:00,37.09467393
22.47,88.31,4/26/2023 22:00,35.33823674
22.47,88.31,4/27/2023 5:00,37.17137119
22.47,88.31,4/27/2023 6:00,38.65099223
22.47,88.31,4/27/2023 7:00,41.1604578
22.47,88.31,4/27/2023 8:00,42.39318475
22.47,88.31,4/27/2023 9:00,40.39607979
22.47,88.31,4/27/2023 10:00,42.44220363
22.47,88.31,4/27/2023 12:00,45.97525835
22.47,88.31,4/27/2023 13:00,48.61628707
22.47,88.31,4/27/2023 14:00,43.4241077
22.47,88.31,4/27/2023 15:00,44.72273186
22.47,88.31,4/27/2023 20:00,31.37044767
22.47,88.31,4/27/2023 21:00,32.04995276
22.47,88.31,4/28/2023 5:00,47.54280285
