lat,long,time,pm
22.46,88.31,12/1/2023 5:00,108.3047474
22.46,88.31,12/1/2023 6:00,111.1012168
22.46,88.31,12/1/2023 8:00,91.7649944
22.46,88.31,12/1/2023 9:00,79.97280817
22.46,88.31,12/1/2023 11:00,77.48948923
22.46,88.31,12/1/2023 12:00,74.45218728
22.46,88.31,12/1/2023 13:00,79.19387502
22.46,88.31,12/1/2023 15:00,70.81073341
22.46,88.31,12/1/2023 19:00,93.73950911
22.46,88.31,12/1/2023 20:00,89.73261083
22.46,88.31,12/1/2023 22:00,102.3430613
22.46,88.31,12/1/2023 23:00,112.7396462
22.46,88.31,12/2/2023 5:00,115.9330582
22.46,88.31,12/2/2023 7:00,114.820816
22.46,88.31,12/2/2023 8:00,94.64664094
22.46,88.31,12/2/2023 10:00,91.16625497
22.46,88.31,12/2/2023 11:00,85.59615445
22.46,88.31,12/2/2023 12:00,80.39029777
22.46,88.31,12/2/2023 13:00,85.15642253
22.46,88.31,12/2/2023 15:00,83.93312031
22.46,88.31,12/2/2023 16:00,85.58483154
22.46,88.31,12/2/2023 19:00,108.4521615
22.46,88.31,12/2/2023 22:00,110.90279
22.46,88.31,12/3/2023 5:00,126.521001
22.46,88.31,12/3/2023 12:00,90.65227993
22.46,88.31,12/3/2023 13:00,85.38763466
22.46,88.31,12/3/2023 16:00,93.8585869
22.46,88.31,12/3/2023 18:00,115.8439178
22.46,88.31,12/3/2023 19:00,121.7383799
22.46,88.31,12/3/2023 21:00,117.9830522
22.46,88.31,12/4/2023 5:00,119.5108576
22.46,88.31,12/4/2023 6:00,114.8286256
22.46,88.31,12/4/2023 8:00,110.0107344
22.46,88.31,12/4/2023 9:00,101.4257278
22.46,88.31,12/4/2023 10:00,89.43466189
22.46,88.31,12/4/2023 11:00,89.81125346
22.46,88.31,12/4/2023 12:00,88.28541479
22.46,88.31,12/4/2023 13:00,89.14038713
22.46,88.31,12/4/2023 14:00,94.08974068
22.46,88.31,12/4/2023 15:00,99.39588299
22.46,88.31,12/4/2023 16:00,112.3197781
22.46,88.31,12/4/2023 19:00,125.1959621
22.46,88.31,12/4/2023 20:00,130.5866093
22.46,88.31,12/4/2023 22:00,127.8143242
22.46,88.31,12/5/2023 5:00,86.2367209
22.46,88.31,12/5/2023 7:00,79.80110308
22.46,88.31,12/5/2023 8:00,84.51895571
22.46,88.31,12/5/2023 10:00,80.28330434
22.46,88.31,12/5/2023 11:00,80.4268353
22.46,88.31,12/5/2023 12:00,84.20467124
22.46,88.31,12/5/2023 13:00,87.43760513
22.46,88.31,12/5/2023 14:00,83.26225447
22.46,88.31,12/5/2023 15:00,82.92200576
22.46,88.31,12/5/2023 16:00,85.26770099
22.46,88.31,12/5/2023 19:00,88.24679474
22.46,88.31,12/5/2023 20:00,94.80478278
22.46,88.31,12/5/2023 22:00,89.7736184
22.46,88.31,12/5/2023 23:00,89.58860173
22.46,88.31,12/6/2023 5:00,99.98921105
22.46,88.31,12/6/2023 6:00,95.53592166
22.46,88.31,12/6/2023 7:00,96.55737289
22.46,88.31,12/6/2023 8:00,97.32936878
22.46,88.31,12/6/2023 9:00,97.55389444
22.46,88.31,12/6/2023 10:00,98.83786773
22.46,88.31,12/6/2023 11:00,98.65697281
22.46,88.31,12/6/2023 12:00,96.66672462
22.46,88.31,12/6/2023 13:00,91.88882605
22.46,88.31,12/6/2023 14:00,84.80033578
22.46,88.31,12/6/2023 15:00,85.81145057
22.46,88.31,12/6/2023 18:00,110.1352951
22.46,88.31,12/6/2023 19:00,124.0172406
22.46,88.31,12/6/2023 20:00,114.9509538
22.46,88.31,12/6/2023 21:00,113.4662582
22.46,88.31,12/6/2023 23:00,110.4018962
22.46,88.31,12/7/2023 5:00,108.3071471
22.46,88.31,12/7/2023 6:00,110.0097101
22.46,88.31,12/9/2023 5:00,114.5696197
22.46,88.31,12/9/2023 6:00,114.2776923
22.46,88.31,12/9/2023 9:00,115.3843961
22.46,88.31,12/9/2023 10:00,115.6951632
22.46,88.31,12/9/2023 12:00,92.72222545
22.46,88.31,12/10/2023 5:00,117.2131084
22.46,88.31,12/10/2023 6:00,113.2799494
22.46,88.31,12/10/2023 8:00,113.0387598
22.46,88.31,12/10/2023 9:00,95.44296341
22.46,88.31,12/10/2023 11:00,88.90291914
22.46,88.31,12/10/2023 12:00,79.77018476
22.46,88.31,12/10/2023 14:00,69.92456908
22.46,88.31,12/10/2023 15:00,69.21644103
22.46,88.31,12/10/2023 20:00,115.9281718
22.46,88.31,12/11/2023 5:00,113.7730156
22.46,88.31,12/11/2023 6:00,114.4324173
22.46,88.31,12/11/2023 11:00,73.34982267
22.46,88.31,12/11/2023 12:00,68.21764881
22.46,88.31,12/11/2023 13:00,68.00247336
22.46,88.31,12/11/2023 14:00,64.338575
22.46,88.31,12/11/2023 15:00,66.07780935
22.46,88.31,12/11/2023 16:00,68.57953523
22.46,88.31,12/11/2023 20:00,113.5205477
22.46,88.31,12/11/2023 21:00,119.7748044
22.46,88.31,12/12/2023 5:00,118.3307192
22.46,88.31,12/12/2023 6:00,116.7924794
22.46,88.31,12/12/2023 7:00,117.8378339
22.46,88.31,12/12/2023 8:00,108.1706329
22.46,88.31,12/12/2023 9:00,97.17482424
22.46,88.31,12/12/2023 10:00,91.82489601
22.46,88.31,12/12/2023 11:00,88.28489378
22.46,88.31,12/12/2023 12:00,80.94229352
22.46,88.31,12/12/2023 13:00,88.08642799
22.46,88.31,12/12/2023 14:00,74.04763096
22.46,88.31,12/12/2023 18:00,111.590153
22.46,88.31,12/12/2023 21:00,118.3863611
22.46,88.31,12/13/2023 5:00,110.9596796
22.46,88.31,12/13/2023 7:00,117.6578099
22.46,88.31,12/13/2023 12:00,69.63054181
22.46,88.31,12/13/2023 14:00,65.84220756
22.46,88.31,12/13/2023 15:00,67.75927784
22.46,88.31,12/13/2023 16:00,73.44649794
22.46,88.31,12/13/2023 19:00,111.8371722
22.46,88.31,12/13/2023 20:00,112.1375341
22.46,88.31,12/13/2023 22:00,119.461493
22.46,88.31,12/14/2023 5:00,117.7774405
22.46,88.31,12/14/2023 7:00,119.892188
22.46,88.31,12/14/2023 9:00,91.47658016
22.46,88.31,12/14/2023 11:00,81.30623763
22.46,88.31,12/14/2023 12:00,73.01032109
22.46,88.31,12/14/2023 13:00,72.33783292
22.46,88.31,12/14/2023 14:00,72.32930132
22.46,88.31,12/14/2023 15:00,73.97365075
22.46,88.31,12/14/2023 16:00,75.95510724
22.46,88.31,12/14/2023 18:00,100.7273186
22.46,88.31,12/14/2023 20:00,120.7768676
22.46,88.31,12/14/2023 21:00,126.1435145
22.46,88.31,12/14/2023 22:00,130.0831264
22.46,88.31,12/15/2023 5:00,125.5659338
22.46,88.31,12/15/2023 12:00,74.2410196
22.46,88.31,12/15/2023 13:00,75.63960726
22.46,88.31,12/15/2023 14:00,73.96540427
22.46,88.31,12/15/2023 15:00,75.32506787
22.46,88.31,12/15/2023 18:00,98.96039372
22.46,88.31,12/15/2023 21:00,128.5756979
22.46,88.31,12/15/2023 23:00,151.2345343
22.46,88.31,12/16/2023 7:00,123.2569513
22.46,88.31,12/16/2023 8:00,112.6273834
22.46,88.31,12/16/2023 10:00,86.32253117
22.46,88.31,12/16/2023 12:00,71.99771902
22.46,88.31,12/16/2023 13:00,70.54571383
22.46,88.31,12/16/2023 16:00,76.37192853
22.46,88.31,12/16/2023 17:00,81.37793791
22.46,88.31,12/16/2023 18:00,93.0935862
22.46,88.31,12/16/2023 19:00,110.1584545
22.46,88.31,12/16/2023 20:00,117.5240535
22.46,88.31,12/16/2023 21:00,123.7626232
22.46,88.31,12/16/2023 22:00,124.8011348
22.46,88.31,12/16/2023 23:00,124.3695029
22.46,88.31,12/17/2023 12:00,67.74097409
22.46,88.31,12/17/2023 13:00,67.68022523
22.46,88.31,12/17/2023 15:00,64.25160934
22.46,88.31,12/17/2023 16:00,67.91944557
22.46,88.31,12/17/2023 19:00,106.295101
22.46,88.31,12/17/2023 21:00,121.665401
22.46,88.31,12/17/2023 22:00,120.0550127
22.46,88.31,12/18/2023 5:00,119.3529357
22.46,88.31,12/18/2023 8:00,115.6318509
22.46,88.31,12/18/2023 9:00,100.8400155
22.46,88.31,12/18/2023 11:00,81.1629008
22.46,88.31,12/18/2023 13:00,75.01630839
22.46,88.31,12/18/2023 14:00,71.02800836
22.46,88.31,12/18/2023 15:00,72.01832903
22.46,88.31,12/18/2023 18:00,104.1249753
22.46,88.31,12/18/2023 19:00,114.514103
22.46,88.31,12/18/2023 20:00,110.0945358
22.46,88.31,12/18/2023 21:00,113.659803
22.46,88.31,12/19/2023 5:00,91.94275222
22.46,88.31,12/19/2023 8:00,90.5760147
22.46,88.31,12/19/2023 12:00,74.07850244
22.46,88.31,12/19/2023 13:00,71.25128525
22.46,88.31,12/19/2023 14:00,69.68916083
22.46,88.31,12/19/2023 15:00,73.38792119
22.46,88.31,12/19/2023 16:00,79.75069749
22.46,88.31,12/19/2023 17:00,91.44058256
22.46,88.31,12/19/2023 20:00,134.0839386
22.46,88.31,12/19/2023 21:00,130.1966951
22.46,88.31,12/20/2023 5:00,116.5830412
22.46,88.31,12/20/2023 7:00,110.4665111
22.46,88.31,12/20/2023 8:00,99.09519154
22.46,88.31,12/20/2023 9:00,94.05271666
22.46,88.31,12/20/2023 10:00,86.35813834
22.46,88.31,12/20/2023 12:00,81.57951045
22.46,88.31,12/20/2023 13:00,78.52895465
22.46,88.31,12/20/2023 14:00,72.15385125
22.46,88.31,12/20/2023 15:00,73.88235697
22.46,88.31,12/20/2023 16:00,77.13800173
22.46,88.31,12/20/2023 20:00,115.1277156
22.46,88.31,12/20/2023 21:00,118.6869773
22.46,88.31,12/21/2023 5:00,95.00919833
22.46,88.31,12/21/2023 6:00,105.6372595
22.46,88.31,12/21/2023 7:00,105.2592886
22.46,88.31,12/21/2023 10:00,84.14339896
22.46,88.31,12/21/2023 12:00,81.70065179
22.46,88.31,12/21/2023 13:00,79.46324247
22.46,88.31,12/21/2023 14:00,76.31326385
22.46,88.31,12/21/2023 15:00,76.63128348
22.46,88.31,12/21/2023 16:00,80.59146754
22.46,88.31,12/21/2023 19:00,118.9015073
22.46,88.31,12/21/2023 20:00,119.0863508
22.46,88.31,12/21/2023 22:00,125.2379038
22.46,88.31,12/21/2023 23:00,137.9557045
22.46,88.31,12/22/2023 5:00,113.4670446
22.46,88.31,12/22/2023 6:00,115.9424338
22.46,88.31,12/22/2023 9:00,120.9412682
22.46,88.31,12/22/2023 12:00,93.41682795
22.46,88.31,12/22/2023 13:00,88.96981771
22.46,88.31,12/22/2023 14:00,83.37412269
22.46,88.31,12/22/2023 15:00,85.95581792
22.46,88.31,12/22/2023 19:00,119.7318819
22.46,88.31,12/22/2023 20:00,124.744785
22.46,88.31,12/23/2023 7:00,126.8968568
22.46,88.31,12/23/2023 10:00,97.22338879
22.46,88.31,12/23/2023 12:00,84.51004866
22.46,88.31,12/23/2023 13:00,80.09947331
22.46,88.31,12/23/2023 14:00,84.85652096
22.46,88.31,12/23/2023 15:00,89.98949915
22.46,88.31,12/23/2023 23:00,121.4792403
22.46,88.31,12/24/2023 5:00,124.544197
22.46,88.31,12/24/2023 6:00,121.3250648
22.46,88.31,12/24/2023 8:00,126.2290018
22.46,88.31,12/24/2023 9:00,127.3985128
22.46,88.31,12/24/2023 12:00,101.7793816
22.46,88.31,12/24/2023 13:00,89.25599114
22.46,88.31,12/24/2023 14:00,90.14763012
22.46,88.31,12/24/2023 15:00,87.20321536
22.46,88.31,12/24/2023 17:00,109.2640125
22.46,88.31,12/24/2023 18:00,116.5947842
22.46,88.31,12/24/2023 20:00,124.5139332
22.46,88.31,12/24/2023 21:00,122.0370549
22.46,88.31,12/24/2023 22:00,119.7013715
22.46,88.31,12/25/2023 9:00,121.8442999
22.46,88.31,12/25/2023 10:00,111.1678807
22.46,88.31,12/25/2023 11:00,93.76745336
22.46,88.31,12/25/2023 12:00,87.0748756
22.46,88.31,12/25/2023 13:00,86.08789018
22.46,88.31,12/25/2023 14:00,83.74824776
22.46,88.31,12/25/2023 15:00,82.56555178
22.46,88.31,12/25/2023 17:00,103.4182149
22.46,88.31,12/25/2023 18:00,117.2626877
22.46,88.31,12/25/2023 19:00,124.0679808
22.46,88.31,12/25/2023 20:00,117.7734527
22.46,88.31,12/25/2023 21:00,119.7962351
22.46,88.31,12/25/2023 22:00,122.971546
22.46,88.31,12/26/2023 5:00,118.1851864
22.46,88.31,12/26/2023 6:00,119.789127
22.46,88.31,12/26/2023 7:00,126.481456
22.46,88.31,12/26/2023 9:00,120.7756577
22.46,88.31,12/26/2023 10:00,96.68778347
22.46,88.31,12/26/2023 12:00,83.42399413
22.46,88.31,12/26/2023 13:00,80.94567658
22.46,88.31,12/26/2023 14:00,79.47413475
22.46,88.31,12/26/2023 15:00,81.12070031
22.46,88.31,12/26/2023 19:00,115.3927917
22.46,88.31,12/27/2023 6:00,126.6239738
22.46,88.31,12/27/2023 8:00,130.3932057
22.46,88.31,12/27/2023 9:00,129.4218596
22.46,88.31,12/27/2023 11:00,97.70897095
22.46,88.31,12/27/2023 12:00,92.19062789
22.46,88.31,12/27/2023 13:00,84.61679781
22.46,88.31,12/27/2023 14:00,86.08251913
22.46,88.31,12/27/2023 15:00,83.78514764
22.46,88.31,12/27/2023 16:00,88.42041092
22.46,88.31,12/27/2023 19:00,119.7752612
22.46,88.31,12/27/2023 20:00,118.7538141
