lat,long,time,pm
22.48,88.39,9/15/2023 0:00,22.41067128
22.5,88.35,9/15/2023 0:00,20.93749374
22.51,88.34,9/15/2023 0:00,15.04297752
22.51,88.36,9/15/2023 0:00,15.66679179
22.51,88.37,9/15/2023 0:00,13.465809
22.54,88.34,9/15/2023 0:00,17.27086172
22.54,88.35,9/15/2023 0:00,18.82511084
22.59,88.36,9/15/2023 0:00,16.53679767
22.6,88.37,9/15/2023 0:00,15.94998933
22.6,88.41,9/15/2023 0:00,16.96640593
22.48,88.39,9/15/2023 1:00,22.01748234
22.5,88.35,9/15/2023 1:00,20.78890333
22.51,88.34,9/15/2023 1:00,14.88381399
22.51,88.36,9/15/2023 1:00,16.44863623
22.51,88.37,9/15/2023 1:00,12.93516945
22.54,88.34,9/15/2023 1:00,16.32398169
22.54,88.35,9/15/2023 1:00,18.13198576
22.59,88.36,9/15/2023 1:00,15.69352772
22.6,88.37,9/15/2023 1:00,15.44505932
22.6,88.41,9/15/2023 1:00,15.90997974
22.48,88.39,9/15/2023 2:00,20.89086058
22.5,88.35,9/15/2023 2:00,19.13674176
22.51,88.34,9/15/2023 2:00,13.94533824
22.51,88.36,9/15/2023 2:00,17.39746299
22.51,88.37,9/15/2023 2:00,11.83498051
22.54,88.34,9/15/2023 2:00,15.15037515
22.54,88.35,9/15/2023 2:00,15.55744039
22.59,88.36,9/15/2023 2:00,13.84208975
22.6,88.37,9/15/2023 2:00,13.51960949
22.6,88.41,9/15/2023 2:00,13.93130697
22.48,88.39,9/15/2023 3:00,19.14949235
22.5,88.35,9/15/2023 3:00,17.15432145
22.51,88.34,9/15/2023 3:00,13.03080338
22.51,88.36,9/15/2023 3:00,15.2881652
22.51,88.37,9/15/2023 3:00,11.53155703
22.54,88.34,9/15/2023 3:00,15.27096895
22.54,88.35,9/15/2023 3:00,14.76345903
22.59,88.36,9/15/2023 3:00,13.79939602
22.6,88.37,9/15/2023 3:00,13.23373393
22.6,88.41,9/15/2023 3:00,13.70931506
22.48,88.39,9/15/2023 4:00,19.90766959
22.5,88.35,9/15/2023 4:00,16.5116575
22.51,88.34,9/15/2023 4:00,12.07623229
22.51,88.36,9/15/2023 4:00,12.04979948
22.51,88.37,9/15/2023 4:00,10.25440805
22.54,88.34,9/15/2023 4:00,13.7878103
22.54,88.35,9/15/2023 4:00,13.51290909
22.59,88.36,9/15/2023 4:00,12.4326984
22.6,88.37,9/15/2023 4:00,11.39653232
22.6,88.41,9/15/2023 4:00,10.76184471
22.48,88.39,9/15/2023 5:00,16.19715703
22.5,88.35,9/15/2023 5:00,13.40762564
22.51,88.34,9/15/2023 5:00,10.74848514
22.51,88.36,9/15/2023 5:00,10.5475958
22.51,88.37,9/15/2023 5:00,9.610101234
22.54,88.34,9/15/2023 5:00,12.37098404
22.54,88.35,9/15/2023 5:00,12.38155717
22.59,88.36,9/15/2023 5:00,10.80790073
22.6,88.37,9/15/2023 5:00,10.89777228
22.6,88.41,9/15/2023 5:00,10.92912564
22.48,88.39,9/15/2023 6:00,18.1799313
22.5,88.35,9/15/2023 6:00,13.9506368
22.51,88.34,9/15/2023 6:00,11.34964848
22.51,88.36,9/15/2023 6:00,11.12761289
22.51,88.37,9/15/2023 6:00,10.28180822
22.54,88.34,9/15/2023 6:00,14.0690157
22.54,88.35,9/15/2023 6:00,15.27435175
22.59,88.36,9/15/2023 6:00,13.89609872
22.6,88.37,9/15/2023 6:00,13.76922124
22.6,88.41,9/15/2023 6:00,11.47904796
22.48,88.39,9/15/2023 7:00,18.12697891
22.5,88.35,9/15/2023 7:00,14.44939146
22.51,88.34,9/15/2023 7:00,13.080172
22.51,88.36,9/15/2023 7:00,12.19202965
22.51,88.37,9/15/2023 7:00,10.31872738
22.54,88.34,9/15/2023 7:00,13.85701506
22.54,88.35,9/15/2023 7:00,16.5531615
22.59,88.36,9/15/2023 7:00,13.72490225
22.6,88.37,9/15/2023 7:00,13.19624609
22.6,88.41,9/15/2023 7:00,12.92341949
22.48,88.39,9/15/2023 8:00,18.76841788
22.5,88.35,9/15/2023 8:00,16.06687035
22.51,88.34,9/15/2023 8:00,13.03767054
22.51,88.36,9/15/2023 8:00,13.05353022
22.51,88.37,9/15/2023 8:00,12.302953
22.54,88.34,9/15/2023 8:00,17.40469693
22.54,88.35,9/15/2023 8:00,17.0927898
22.59,88.36,9/15/2023 8:00,14.47417078
22.6,88.37,9/15/2023 8:00,13.48558376
22.6,88.41,9/15/2023 8:00,13.30624361
