lat,long,time,pm
22.46,88.37,3/28/2023 0:00,53.37005078
22.5,88.35,3/28/2023 0:00,49.05392615
22.52,88.34,3/28/2023 0:00,54.73606112
22.54,88.34,3/28/2023 0:00,51.97899615
22.54,88.35,3/28/2023 0:00,60.40570953
22.56,88.35,3/28/2023 0:00,50.00220586
22.56,88.39,3/28/2023 0:00,58.44348845
22.57,88.36,3/28/2023 0:00,50.36940043
22.57,88.37,3/28/2023 0:00,51.44150137
22.59,88.36,3/28/2023 0:00,51.1764461
22.6,88.41,3/28/2023 0:00,51.0111487
22.46,88.37,3/28/2023 1:00,53.5483585
22.5,88.35,3/28/2023 1:00,50.65436669
22.52,88.34,3/28/2023 1:00,54.21910231
22.54,88.34,3/28/2023 1:00,53.04776082
22.54,88.35,3/28/2023 1:00,56.27478465
22.56,88.35,3/28/2023 1:00,56.54326497
22.56,88.39,3/28/2023 1:00,80.43223399
22.57,88.36,3/28/2023 1:00,55.65074094
22.57,88.37,3/28/2023 1:00,57.83246635
22.59,88.36,3/28/2023 1:00,51.00535947
22.6,88.41,3/28/2023 1:00,52.85511761
22.46,88.37,3/28/2023 2:00,39.77493383
22.5,88.35,3/28/2023 2:00,39.18784663
22.51,88.36,3/28/2023 2:00,253.1845544
22.51,88.37,3/28/2023 2:00,489.0709951
22.52,88.34,3/28/2023 2:00,42.86515285
22.54,88.34,3/28/2023 2:00,43.13505547
22.54,88.35,3/28/2023 2:00,45.21493129
22.56,88.35,3/28/2023 2:00,48.33826713
22.56,88.39,3/28/2023 2:00,61.19396678
22.57,88.36,3/28/2023 2:00,51.71538509
22.57,88.37,3/28/2023 2:00,55.13806733
22.59,88.36,3/28/2023 2:00,50.71459553
22.6,88.41,3/28/2023 2:00,44.12611984
22.46,88.37,3/28/2023 3:00,37.49657352
22.5,88.35,3/28/2023 3:00,34.92135514
22.52,88.34,3/28/2023 3:00,35.33947451
22.54,88.34,3/28/2023 3:00,34.38896166
22.54,88.35,3/28/2023 3:00,35.59239497
22.56,88.35,3/28/2023 3:00,36.23603322
22.56,88.39,3/28/2023 3:00,39.01570848
22.57,88.36,3/28/2023 3:00,35.56060963
22.57,88.37,3/28/2023 3:00,36.75064167
22.59,88.36,3/28/2023 3:00,34.70852724
22.6,88.41,3/28/2023 3:00,40.09048967
22.46,88.37,3/28/2023 4:00,34.44417497
22.5,88.35,3/28/2023 4:00,35.58253933
22.52,88.34,3/28/2023 4:00,36.5233079
22.54,88.34,3/28/2023 4:00,35.39191896
22.54,88.35,3/28/2023 4:00,36.99470987
22.56,88.35,3/28/2023 4:00,36.35194715
22.56,88.39,3/28/2023 4:00,35.4080155
22.57,88.36,3/28/2023 4:00,36.56100683
22.57,88.37,3/28/2023 4:00,37.48301364
22.59,88.36,3/28/2023 4:00,34.96109375
22.6,88.41,3/28/2023 4:00,35.55274912
22.46,88.37,3/28/2023 5:00,35.36653698
22.5,88.35,3/28/2023 5:00,35.29047865
22.52,88.34,3/28/2023 5:00,36.94419435
22.54,88.34,3/28/2023 5:00,36.01551166
22.54,88.35,3/28/2023 5:00,36.70165626
22.56,88.35,3/28/2023 5:00,35.35161014
22.56,88.39,3/28/2023 5:00,37.69610205
22.57,88.36,3/28/2023 5:00,36.5684447
22.57,88.37,3/28/2023 5:00,37.72095321
22.59,88.36,3/28/2023 5:00,35.00908455
22.6,88.41,3/28/2023 5:00,35.55994093
22.46,88.37,3/28/2023 6:00,35.82422017
22.5,88.35,3/28/2023 6:00,34.84086139
22.52,88.34,3/28/2023 6:00,36.21047034
22.54,88.34,3/28/2023 6:00,36.52262184
22.54,88.35,3/28/2023 6:00,37.12835887
22.56,88.35,3/28/2023 6:00,34.96892712
22.56,88.39,3/28/2023 6:00,36.87713752
22.57,88.36,3/28/2023 6:00,36.98179663
22.57,88.37,3/28/2023 6:00,37.93060596
22.59,88.36,3/28/2023 6:00,34.49946445
22.6,88.41,3/28/2023 6:00,35.75143154
22.46,88.37,3/28/2023 7:00,37.28440539
22.5,88.35,3/28/2023 7:00,35.7225911
22.52,88.34,3/28/2023 7:00,37.69525683
22.54,88.34,3/28/2023 7:00,40.03898752
22.54,88.35,3/28/2023 7:00,40.45442664
22.56,88.35,3/28/2023 7:00,37.4247999
22.56,88.39,3/28/2023 7:00,38.09158649
22.57,88.36,3/28/2023 7:00,40.26854764
22.57,88.37,3/28/2023 7:00,40.70274852
22.59,88.36,3/28/2023 7:00,37.19975247
22.6,88.41,3/28/2023 7:00,38.08622598
22.46,88.37,3/28/2023 8:00,41.54142574
22.5,88.35,3/28/2023 8:00,41.38359476
22.52,88.34,3/28/2023 8:00,41.6006952
22.54,88.34,3/28/2023 8:00,44.21563982
22.54,88.35,3/28/2023 8:00,45.21269369
22.56,88.35,3/28/2023 8:00,40.90227141
22.56,88.39,3/28/2023 8:00,42.14486563
22.57,88.36,3/28/2023 8:00,44.54205409
22.57,88.37,3/28/2023 8:00,44.25794734
22.59,88.36,3/28/2023 8:00,41.61742346
22.6,88.41,3/28/2023 8:00,42.57638626
22.46,88.37,3/28/2023 9:00,45.07659797
22.5,88.35,3/28/2023 9:00,46.15612743
22.52,88.34,3/28/2023 9:00,46.81278926
22.54,88.34,3/28/2023 9:00,48.61475807
22.54,88.35,3/28/2023 9:00,50.80988475
22.56,88.35,3/28/2023 9:00,45.82164305
22.56,88.39,3/28/2023 9:00,46.93994812
22.57,88.36,3/28/2023 9:00,51.73695998
22.57,88.37,3/28/2023 9:00,51.29203809
22.59,88.36,3/28/2023 9:00,48.89163168
22.6,88.41,3/28/2023 9:00,48.41944742
22.46,88.37,3/28/2023 10:00,50.42903425
22.5,88.35,3/28/2023 10:00,51.52398407
22.52,88.34,3/28/2023 10:00,52.90431402
22.54,88.34,3/28/2023 10:00,54.04107719
22.54,88.35,3/28/2023 10:00,57.61921407
22.56,88.35,3/28/2023 10:00,52.75551881
22.56,88.39,3/28/2023 10:00,53.33095066
22.57,88.36,3/28/2023 10:00,60.87936367
22.57,88.37,3/28/2023 10:00,59.257811
22.59,88.36,3/28/2023 10:00,56.72776696
22.6,88.41,3/28/2023 10:00,57.40225397
22.46,88.37,3/28/2023 11:00,56.48367933
22.5,88.35,3/28/2023 11:00,56.54222257
22.52,88.34,3/28/2023 11:00,58.51220804
22.54,88.34,3/28/2023 11:00,59.18440535
22.54,88.35,3/28/2023 11:00,65.63577275
22.56,88.35,3/28/2023 11:00,61.78530621
22.56,88.39,3/28/2023 11:00,59.23583237
22.57,88.36,3/28/2023 11:00,65.06861534
22.57,88.37,3/28/2023 11:00,61.97292388
22.59,88.36,3/28/2023 11:00,60.47198257
22.6,88.41,3/28/2023 11:00,59.89517444
22.46,88.37,3/28/2023 12:00,58.95112369
22.5,88.35,3/28/2023 12:00,59.26488003
